Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
57999296,Das Perfekte Geschenk: Zur Psychologie Des Schenkens,Bernd Stauss,"Stauss, Bernd",,"=""3662636190""","=""9783662636190""",0,0.0,Springer,Paperback,,2021,,,2021/12/19,to-read,to-read (#996),to-read,,,,0,,,0,,,,,
22708486,Wieso Frauen immer Sex wollen und Männer immer Kopfschmerzen haben: Die populärsten Irrtümer über Beziehungen und Liebe,Christian Thiel,"Thiel, Christian",,"=""""","=""""",0,3.08,Südwest Verlag,Kindle Edition,225,2014,2014,,2021/12/17,"currently-reading, audible, audiobook, 2021","currently-reading (#9), audible (#100), audiobook (#201), 2021 (#71)",currently-reading,,,,1,,,0,,,,,
85697,The Art of Possibility,Rosamund Stone Zander,"Zander, Rosamund Stone",Benjamin Zander,"=""0142001104""","=""9780142001103""",0,3.93,Penguin,Paperback,210,2006,2000,,2021/12/15,"to-read, projekt","to-read (#995), projekt (#18)",to-read,,,,0,,,0,,,,,
1319,The War of Art: Winning the Inner Creative Battle,Steven Pressfield,"Pressfield, Steven",Robert McKee,"=""0446691437""","=""9780446691437""",0,3.98,Warner Books,Paperback,168,2003,2002,,2021/12/15,"to-read, projekt","to-read (#994), projekt (#17)",to-read,,,,0,,,0,,,,,
254799,The Creative Habit: Learn It and Use It for Life,Twyla Tharp,"Tharp, Twyla",,"=""0743235274""","=""9780743235273""",0,4.04,Simon  Schuster,Paperback,247,2006,2003,,2021/12/15,"to-read, projekt","to-read (#993), projekt (#16)",to-read,,,,0,,,0,,,,,
5949,The Conversations: Walter Murch and the Art of Editing Film,Michael Ondaatje,"Ondaatje, Michael",,"=""0375709827""","=""9780375709821""",0,4.34,Knopf Publishing Group,Paperback,339,2002,2002,,2021/12/15,"to-read, projekt","to-read (#992), projekt (#15)",to-read,,,,0,,,0,,,,,
3138706,Producing Great Sound for Film and Video,Jay Rose,"Rose, Jay",,"=""024080970X""","=""9780240809700""",0,3.84,Focal Press,Paperback,462,2008,1999,,2021/12/15,"to-read, projekt","to-read (#991), projekt (#14)",to-read,,,,0,,,0,,,,,
12517,On Directing Film,David Mamet,"Mamet, David",,"=""0140127224""","=""9780140127225""",0,3.84,Penguin Books,Paperback,107,1992,1991,,2021/12/15,"to-read, projekt","to-read (#990), projekt (#13)",to-read,,,,0,,,0,,,,,
1879930,The Annotated Godfather,Jenny M. Jones,"Jones, Jenny M.",,"=""1579127398""","=""9781579127398""",0,4.51,Black Dog & Leventhal,Hardcover,262,2007,2007,,2021/12/15,"projekt, to-read","projekt (#12), to-read (#989)",to-read,,,,0,,,0,,,,,
7963,Characters and Viewpoint (Elements of Fiction Writing),Orson Scott Card,"Card, Orson Scott",,"=""""","=""9780898799279""",0,4.03,Writer's Digest Books,Paperback,182,1999,1988,,2021/12/15,"to-read, projekt","to-read (#988), projekt (#11)",to-read,,,,0,,,0,,,,,
74203,Three Uses of the Knife: On the Nature and Purpose of Drama,David Mamet,"Mamet, David",,"=""037570423X""","=""9780375704239""",0,3.89,Vintage,Paperback,96,2000,1991,,2021/12/15,"to-read, projekt","to-read (#987), projekt (#10)",to-read,,,,0,,,0,,,,,
896797,Secrets of Film Writing,Tom Lazarus,"Lazarus, Tom",,"=""0312269080""","=""9780312269081""",0,3.38,St. Martin's Griffin,Paperback,256,2001,2001,,2021/12/15,"to-read, projekt","to-read (#986), projekt (#9)",to-read,,,,0,,,0,,,,,
